170,分析画面,仕入先分析,比率,L1,C,画面内,計算項目,外部連携×外部連携,インフォマート内の複数データ組合せ,仕入先÷総仕入×100,仕入先分析.金額税抜 ÷ SUM(仕入先分析.金額税抜) × 100,-,infomart_transactions.total_tax_excluded,infomart_transactions.total_tax_excluded,インフォマート（仕入）,-,"商品別仕入分析.比率, 費目別仕入分析.比率",infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded → 仕入先分析.比率,外部連携検証済,infomart_transactions.total_tax_excluded → infomart_transactions.total_tax_excluded,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
171,分析画面,利益進捗分析,利益進捗率,L4b,B,画面間,計算項目,演算×予算設定,分析画面.営業利益累計 ÷ 月次予算設定.目標月次利益 × 100,営業利益累計÷目標利益×100,SUM(当月実績.営業利益) ÷ 予算設定.予算金額 × 100,当月実績.営業利益,"monthly_budgets.value（予算設定画面）, monthly_budgets.profit",-,予実対比.営業利益,月次予算設定.目標月次利益,当月実績.営業利益,monthly_budgets.value（予算設定画面） / monthly_budgets.profit → 当月実績.営業利益 → 利益進捗分析.利益進捗率,演算検証済,インプット元: 当月実績.営業利益,累計期間(月初〜当日 or 年初〜当月)が不明,累計期間の定義を確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
172,分析画面,利益進捗分析,利益進捗率比較（前月）,L4b,B,画面間,計算項目,演算×予算設定,前月営業利益 ÷ 前月目標利益 × 100,営業利益÷目標利益×100(前月比),当月実績.営業利益 ÷ 予算設定.予算金額 × 100 (前月データ),当月実績.営業利益,"monthly_budgets.value（予算設定画面）, monthly_budgets.profit",-,予実対比.営業利益(前月),-,"当月実績.営業利益, -",monthly_budgets.value（予算設定画面） / monthly_budgets.profit → 当月実績.営業利益 → 利益進捗分析.利益進捗率比較(前月),演算検証済,インプット元: 当月実績.営業利益,前月データの取得方法が不明,前月データ参照ロジックを確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
173,分析画面,利益進捗分析,利益進捗率比較（前々月）,L4b,B,画面間,計算項目,演算×予算設定,前々月営業利益 ÷ 前々月目標利益 × 100,営業利益÷目標利益×100(前々月比),当月実績.営業利益 ÷ 予算設定.予算金額 × 100 (前々月データ),当月実績.営業利益,"monthly_budgets.value（予算設定画面）, monthly_budgets.profit",-,予実対比.営業利益(前々月),-,"当月実績.営業利益, -",monthly_budgets.value（予算設定画面） / monthly_budgets.profit → 当月実績.営業利益 → 利益進捗分析.利益進捗率比較(前々月),演算検証済,インプット元: 当月実績.営業利益,前々月データの取得方法が不明,前々月データ参照ロジックを確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
174,分析画面,利益進捗分析,利益達成率,L4b,A,画面間,計算項目,演算×予算設定,当月営業利益 ÷ 月次予算設定.目標月次利益 × 100,営業利益÷目標利益×100,当月実績.営業利益 ÷ 予算設定.予算金額 × 100,当月実績.営業利益,"monthly_budgets.value（予算設定画面）, monthly_budgets.profit",-,予実対比.営業利益,月次予算設定.目標月次利益,"当月実績.営業利益, -",monthly_budgets.value（予算設定画面） / monthly_budgets.profit → 当月実績.営業利益 → 利益進捗分析.利益達成率,演算検証済,インプット元: 当月実績.営業利益,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
175,分析画面,商品別仕入分析,商品,L0,D,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,detail_list.item_name,-,infomart_order_details.item_name,detail_list.item_name,-,[外部]detail_list.item_name,-,detail_list.item_name → infomart_order_details.item_name → 商品別仕入分析.商品,外部連携検証済,detail_list.item_name → infomart_transactions.item_name,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
176,分析画面,商品別仕入分析,仕入先,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,マスタ参照,member_name_partner.client_name,-,infomart_orders.client_name,member_name_partner.client_name,-,[外部]member_name_partner.client_name,-,member_name_partner.client_name → infomart_orders.client_name → 商品別仕入分析.仕入先,外部連携検証済,member_name_partner.client_name → infomart_transactions.client_name,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
177,分析画面,商品別仕入分析,金額（税抜）,L0,C,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,SUM商品別,SUM(detail_list.price) GROUP BY item_name,-,infomart_order_details.price,detail_list.price,-,[外部]detail_list.price,商品別仕入分析.比率,detail_list.price → infomart_order_details.price → 商品別仕入分析.金額税抜,外部連携検証済,detail_list.price → infomart_transactions.price,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
178,分析画面,商品別仕入分析,比率,L1,C,画面内,計算項目,外部連携×外部連携,インフォマート内の複数データ組合せ,商品÷総仕入×100,商品別仕入分析.金額税抜 ÷ SUM(商品別仕入分析.金額税抜) × 100,-,infomart_order_details.price,detail_list.price,-,-,"仕入先分析.比率, 費目別仕入分析.比率",detail_list.price → infomart_order_details.price → 商品別仕入分析.比率,外部連携検証済,detail_list.price → infomart_transactions.price,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
179,分析画面,商品別売上分析,商品単価（税抜）,L1,C,画面内,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷数量,商品別売上分析.売上合計税抜 ÷ 商品別売上分析.販売数量,-,"head_office_item_sales_logs.sales_excluded, head_office_item_sales_logs.quantity","TITEM.sales_excluded, TITEM.quantity",POS売上（商品別）,商品別売上分析.販売数量,-,TITEM.sales_excluded / TITEM.quantity → head_office_item_sales_logs.sales_excluded / head_office_item_sales_logs.quantity → 商品別売上分析.商品単価(税抜),スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
180,分析画面,商品別売上分析,商品単価（税込）,L1,C,画面内,計算項目,外部連携×外部連携,POS売上とPOS客数/商品等の組合せ,売上÷数量,商品別売上分析.売上合計税込 ÷ 商品別売上分析.販売数量,-,"t_items.sales, head_office_item_sales_logs.quantity","TITEM.sales, TITEM.quantity",POS売上（商品別）,商品別売上分析.販売数量,-,TITEM.sales / TITEM.quantity → t_items.sales / head_office_item_sales_logs.quantity → 商品別売上分析.商品単価税込,外部連携検証済,TITEM.sales → head_office_item_sales_logs.sales,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
181,分析画面,商品別売上分析,販売数量,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM商品別,SUM(TITEM.quantity) GROUP BY item_name,-,head_office_item_sales_logs.quantity,TITEM.quantity,POS売上（商品別）,[外部]TITEM.quantity,"ABC分析.販売点数, 商品別売上分析.商品単価（税抜）",TITEM.quantity → head_office_item_sales_logs.quantity → 商品別売上分析.販売数量,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
182,分析画面,売上進捗分析,売上進捗率,L4a,B,画面間,計算項目,外部連携×予算設定,POS売上累計 ÷ 月次予算設定.売上（税抜） × 100,売上累計÷目標×100,SUM(当月実績.売上（税抜）) ÷ 予算設定.予算金額 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,当月実績.売上税抜,月次予算設定.売上（税抜）,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 売上進捗分析.売上進捗率,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
183,分析画面,売上進捗分析,売上進捗率比較（前月）,L4a,B,画面間,計算項目,外部連携×予算設定,前月POS売上 ÷ 前月目標売上 × 100,売上÷目標(前月比),当月実績.売上（税抜） ÷ 予算設定.予算金額 (前月データ),-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,当月実績.売上税抜(前月),-,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 売上進捗分析.売上進捗率比較(前月),スキーマ検証済,-,前月データの取得方法が不明,前月データ参照ロジックを確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
184,分析画面,売上進捗分析,売上進捗率比較（前々月）,L4a,B,画面間,計算項目,外部連携×予算設定,前々月POS売上 ÷ 前々月目標売上 × 100,売上÷目標(前々月比),当月実績.売上（税抜） ÷ 予算設定.予算金額 (前々月データ),-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,当月実績.売上税抜(前々月),-,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 売上進捗分析.売上進捗率比較(前々月),スキーマ検証済,-,前々月データの取得方法が不明,前々月データ参照ロジックを確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
185,分析画面,売上進捗分析,売上達成率,L4a,A,画面間,計算項目,外部連携×予算設定,当月POS売上 ÷ 月次予算設定.売上（税抜） × 100,売上÷目標×100,当月実績.売上（税抜） ÷ 予算設定.予算金額 × 100,-,"head_office_connected_service_sales_logs.sales_excluded, monthly_budgets.profit",ZTOTAL.sales_excluded,当月実績.売上税抜,月次予算設定.売上（税抜）,-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded / monthly_budgets.profit → 売上進捗分析.売上達成率,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
186,分析画面,平均単価推移,仕入商品ラベル,L0,D,-,インフォマート（仕入）,外部連携単独,インフォマート仕入データから単独取得,ラベルマスタ,detail_list.item_name,-,infomart_order_details.item_name,detail_list.item_name,-,[外部]detail_list.item_name,"商品別仕入分析.商品, 商品仕入単価.アイテム",detail_list.item_name → infomart_order_details.item_name → 平均単価推移.仕入商品ラベル,外部連携検証済,detail_list.item_name → infomart_transactions.item_name,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
